2026-06-17T05:13:15.198Z CHAT_FAILED latencyMs=1007
2026-06-17T05:13:16.846Z CHAT_FAILED latencyMs=1630
2026-06-17T05:13:18.427Z CHAT_FAILED latencyMs=1561
2026-06-17T05:13:20.264Z CHAT_FAILED latencyMs=1829
2026-06-17T05:13:21.964Z CHAT_FAILED latencyMs=1689
2026-06-17T05:13:22.976Z CHAT_FAILED latencyMs=984
2026-06-17T05:13:24.441Z CHAT_OK latencyMs=1455
2026-06-17T05:13:26.165Z CHAT_OK latencyMs=1718
2026-06-17T05:13:28.052Z CHAT_FAILED latencyMs=1863
2026-06-17T05:13:29.968Z CHAT_OK latencyMs=1901
2026-06-17T05:13:30.973Z CHAT_FAILED latencyMs=968
2026-06-17T05:13:32.012Z CHAT_FAILED latencyMs=1035
2026-06-17T05:13:33.129Z CHAT_OK latencyMs=1099
2026-06-17T05:13:34.647Z CHAT_FAILED latencyMs=1508
2026-06-17T05:13:36.176Z CHAT_OK latencyMs=1477
2026-06-17T05:13:37.995Z CHAT_FAILED latencyMs=1810
2026-06-17T05:13:39.511Z CHAT_OK latencyMs=1510
2026-06-17T05:13:41.391Z CHAT_FAILED latencyMs=1862
2026-06-17T05:13:42.864Z CHAT_OK latencyMs=1466
2026-06-17T05:13:44.050Z CHAT_FAILED latencyMs=1182
2026-06-17T05:13:45.827Z CHAT_FAILED latencyMs=1766
2026-06-17T05:13:47.076Z CHAT_OK latencyMs=1211
2026-06-17T05:13:47.963Z CHAT_OK latencyMs=880
2026-06-17T05:13:49.228Z CHAT_OK latencyMs=1261
2026-06-17T05:13:50.401Z CHAT_FAILED latencyMs=1150
2026-06-17T05:13:51.316Z CHAT_OK latencyMs=881
2026-06-17T05:13:52.664Z CHAT_OK latencyMs=1284
2026-06-17T05:13:54.127Z CHAT_OK latencyMs=1434
2026-06-17T05:13:55.374Z CHAT_OK latencyMs=1194
2026-06-17T05:13:57.151Z CHAT_FAILED latencyMs=1749
2026-06-17T05:13:58.867Z CHAT_FAILED latencyMs=1687
2026-06-17T05:13:59.847Z CHAT_OK latencyMs=946
2026-06-17T05:14:01.493Z CHAT_FAILED latencyMs=1623
2026-06-17T05:14:03.191Z CHAT_OK latencyMs=1557
